date,NY.GDP.MKTP.CD,FP.CPI.TOTL.ZG,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,SL.UEM.TOTL.ZS
1974-01-01,1545243000000,11.0548048048048,8.19612190445127,8.24886441808829,6.8
1975-01-01,1684904000000,9.14314686496535,8.23227910907684,7.28409452407971,6.8
1976-01-01,1873412000000,5.74481263549085,7.9808926173207,8.067953018343,6.8
1977-01-01,2081826000000,6.5016839947284,7.6542900319239,8.76360464323147,6.8
1978-01-01,2351599000000,7.63096383885606,7.947060702101,9.02577352686406,6.8
1979-01-01,2627333000000,11.2544711292795,8.75903435156488,9.61712885271871,6.8
1980-01-01,2857307000000,13.5492019749684,9.82645547013324,10.2833892192894,6.8
1981-01-01,3207041000000,10.3347153402771,9.51777666702733,9.90813650339986,6.8
1982-01-01,3343789000000,6.13142700027493,8.46973298853486,9.06707929238358,6.8
1983-01-01,3634038000000,3.21243523316065,7.62226481946529,9.04332866084504,6.8
1984-01-01,4037613000000,4.30053547523429,7.48907832424752,10.0333290981577,6.8
1985-01-01,4338979000000,3.54564415209365,6.98807253964585,9.61583358665714,6.8
1986-01-01,4579631000000,1.89804772234276,7.00925467575881,9.88872247567544,6.8
1987-01-01,4855215000000,3.6645632175169,7.49591933621889,10.4776616483513,6.8
1988-01-01,5236438000000,4.07774110744413,8.49052351999585,10.5795771858657,6.8
1989-01-01,5641580000000,4.82700303008944,8.93879019707245,10.4763204634163,6.8
1990-01-01,5963144000000,5.39795643990325,9.25473206751338,10.5603352862181,6.8
1991-01-01,6158129000000,4.23496396453849,9.66090512231881,10.1255430017786,6.8
1992-01-01,6520327000000,3.02881967814969,9.70891490564814,10.2416795967442,7.5
1993-01-01,6858559000000,2.95165696638559,9.54718039168286,10.4974383102923,6.9
1994-01-01,7287236000000,2.60744159215453,9.89314741556332,11.162311746182,6.119
1995-01-01,7639749000000,2.80541968853662,10.639223880261,11.8141577687958,5.65
1996-01-01,8073122000000,2.93120419993441,10.7466355642836,11.9404364259576,5.451
1997-01-01,8577552000000,2.33768993730735,11.1197577117574,12.3085700908604,5.0
1998-01-01,9062817000000,1.55227909874364,10.5152625281963,12.3106314515674,4.511
1999-01-01,9631172000000,2.18802719697358,10.3093372229257,13.004232506698,4.219
2000-01-01,10250952000000,3.37685727149929,10.6927727297913,14.4102128270623,3.992
2001-01-01,10581929000000,2.82617111885407,9.70344820873397,13.2637348067635,4.731
2002-01-01,10929108000000,1.58603162650601,9.13138565379718,13.1549985598093,5.783
2003-01-01,11456450000000,2.27009497336115,9.03565240541354,13.5916448812678,5.989
2004-01-01,12217196000000,2.67723669309172,9.62874787307988,14.8193087841105,5.529
2005-01-01,13039197000000,3.3927468454955,9.98205641037558,15.6565009333013,5.084
2006-01-01,13815583000000,3.22594410070404,10.641389509223,16.3338962966673,4.623
2007-01-01,14474228000000,2.85267248150138,11.4637892950146,16.5482262680953,4.622
2008-01-01,14769862000000,3.839100296651,12.4258439246081,17.441943601098,5.784
2009-01-01,14478067000000,-0.355546266299747,10.9322190593537,13.8273085764833,9.254
2010-01-01,15048971000000,1.6400434423899,12.3413554322086,15.878527508625,9.633
2011-01-01,15599732000000,3.156841568622,13.5634637825829,17.2790147933311,8.949
2012-01-01,16253970000000,2.06933726526067,13.6440512687054,17.0377883064876,8.069
2013-01-01,16880683000000,1.46483265562717,13.5534918818154,16.3878144030073,7.375
2014-01-01,17608138000000,1.62222297740817,13.5082142132235,16.3983551242045,6.168
2015-01-01,18295019000000,0.118627135552451,12.4111486301271,15.2770653039497,5.28
2016-01-01,18804913000000,1.26158320570536,11.8881592273253,14.5644385592212,4.869
2017-01-01,19612102000000,2.13011000365961,12.177481026766,14.9478571955214,4.355
2018-01-01,20656516000000,2.44258329692817,12.2871107596266,15.1582483706352,3.896
2019-01-01,21539982000000,1.81221007526021,11.7891974097286,14.4692832148142,3.669
2020-01-01,21354105000000,1.23358439630629,10.0736556273372,13.0061222420701,8.055
2021-01-01,23681171000000,4.69785886363742,10.7909781995156,14.422677831261,5.349
2022-01-01,26006893000000,8.00279982052121,11.6022279170372,15.2894619130397,3.65
2023-01-01,27720709000000,4.11633838374488,11.0115112856601,13.8878518583345,3.638
